,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets
257,2,0,0,8000000,20000000,2,502,0,47800000
258,0,1,0,9800000,38800000,8,652,1,77300000
259,0,0,1,300000,1100000,8,789,1,1700000
260,4,0,0,2700000,8100000,4,325,1,19100000
261,3,1,1,7400000,19600000,2,716,1,46300000
262,3,1,0,9200000,34300000,18,523,0,67500000
263,5,0,0,9500000,22200000,20,352,0,62300000
264,5,1,1,3800000,14400000,2,345,1,21800000
265,0,1,0,8300000,19400000,18,649,1,54200000
266,2,1,1,2800000,7400000,18,666,1,12100000
267,0,1,0,8600000,20900000,10,813,1,54000000
268,0,0,0,5400000,16800000,10,599,1,34800000
269,5,1,1,4200000,9400000,6,678,1,25800000
270,5,0,0,5200000,12200000,20,513,0,37600000
271,5,1,0,9400000,27900000,4,870,1,41200000
272,3,1,0,8800000,20400000,8,483,0,54600000
273,1,1,1,5900000,16700000,16,308,0,39000000
274,3,1,1,1700000,4900000,16,591,1,11400000
275,1,0,0,7000000,23000000,10,886,1,48000000
276,4,0,0,1700000,4000000,6,829,1,8500000
277,0,0,0,1500000,4900000,12,651,1,9800000
278,4,0,0,2000000,4700000,18,733,1,17200000
279,5,1,1,3900000,15500000,12,433,0,27400000
280,1,1,1,900000,3600000,14,713,1,5300000
281,1,1,0,6900000,22500000,18,403,0,32400000
282,0,1,1,2800000,7800000,10,405,0,20800000
283,3,1,1,6800000,19900000,10,516,0,56500000
284,4,0,1,600000,1800000,8,417,0,5000000
285,1,0,0,4700000,14000000,6,468,0,28300000
286,5,1,1,3000000,11800000,10,672,1,26200000
287,5,0,0,4000000,13900000,6,530,0,30100000
288,1,0,1,3100000,11300000,14,824,1,25100000
289,1,0,1,7700000,25500000,12,549,0,56200000
290,5,0,1,4300000,9300000,10,450,0,22900000
291,1,1,1,5800000,19500000,20,431,0,37700000
292,3,1,1,3600000,10700000,16,312,0,22200000
293,0,0,1,2900000,7600000,8,320,0,26300000
294,0,1,0,8800000,20200000,4,433,0,63100000
295,1,0,1,300000,1000000,10,431,0,1900000
296,5,0,1,8600000,28900000,8,516,0,48700000
297,2,0,1,3500000,12000000,14,476,0,23200000
298,5,1,0,800000,2600000,6,560,1,4300000
299,2,1,0,8000000,27100000,12,674,1,46500000
300,0,0,1,9900000,38200000,6,573,1,53200000
301,2,0,0,3300000,6600000,6,331,0,19900000
302,4,1,1,2000000,6700000,12,633,1,7700000
303,3,0,0,4900000,12900000,18,877,1,30000000
304,5,0,1,9200000,23600000,12,656,1,53900000
305,0,0,0,7500000,18200000,6,782,1,43300000
306,5,0,0,9000000,29300000,4,531,1,61200000
307,3,0,0,1400000,4100000,8,455,0,9400000
308,3,1,0,9600000,19900000,14,452,0,55500000
309,2,1,0,8400000,33200000,14,474,0,71500000
310,3,0,0,6400000,24400000,4,483,1,33800000
311,4,1,0,5900000,16800000,8,481,0,41100000
312,2,1,1,2200000,5100000,20,859,1,14500000
313,4,1,1,5600000,14100000,14,696,1,41500000
314,4,0,0,9800000,28700000,6,778,1,64800000
315,4,1,0,4400000,14600000,4,499,1,29600000
316,2,0,1,2400000,4900000,4,888,1,19200000
317,1,1,0,4400000,10800000,12,674,1,34800000
318,4,1,0,3700000,13200000,4,802,1,29000000
319,4,0,1,2300000,7800000,8,540,0,12400000
320,4,1,1,5900000,19600000,8,726,1,52300000
321,4,0,1,6400000,23500000,2,485,1,37500000
322,4,1,1,4900000,17100000,6,612,1,32800000
323,3,0,1,9500000,24200000,8,879,1,59400000
324,2,0,0,5700000,16400000,12,708,1,23900000
325,2,0,1,2700000,5700000,8,850,1,22900000
326,2,0,1,3900000,11300000,12,516,0,18100000
327,0,0,0,7800000,28800000,12,465,0,48400000
328,0,1,0,1100000,3200000,20,716,1,8300000
329,4,0,0,200000,600000,10,404,0,500000
330,0,0,1,4700000,10600000,20,512,0,31700000
331,3,0,1,8200000,20600000,10,441,0,62700000
332,2,0,1,4600000,18400000,2,555,1,28500000
333,5,0,0,1800000,7000000,18,466,0,12600000
334,3,1,1,3200000,8600000,2,427,0,17500000
335,4,0,1,5500000,20000000,14,593,1,42600000
336,3,1,0,7900000,18300000,10,731,1,38200000
337,1,1,1,4000000,10100000,16,451,0,29100000
338,3,0,1,6800000,16900000,18,628,1,25000000
339,1,0,0,2700000,9400000,18,704,1,16400000
340,2,0,0,6800000,23500000,12,341,0,53900000
341,5,1,0,8600000,21000000,8,465,0,56000000
342,4,1,0,8000000,30100000,4,431,1,56000000
343,1,1,1,3700000,12600000,10,424,0,25100000
344,0,1,0,2600000,5100000,14,678,1,10800000
345,4,1,0,4200000,16800000,6,381,0,34100000
346,5,1,1,8000000,28000000,10,449,0,41300000
347,1,0,0,7100000,23500000,12,768,1,48200000
348,0,0,0,2000000,7000000,6,666,0,6900000
349,4,0,1,5800000,13300000,14,742,1,48700000
350,3,0,1,6700000,15800000,4,445,0,41300000
351,2,1,0,7300000,28700000,14,634,1,41700000
352,4,0,0,3300000,9700000,14,782,1,15100000
353,0,1,0,3000000,7000000,10,781,1,22200000
354,4,0,0,7900000,17200000,14,318,0,55900000
355,5,0,0,7600000,24100000,18,721,1,63500000
356,5,0,0,3700000,9800000,4,563,1,28800000
357,2,0,0,8400000,26300000,4,419,1,66200000
358,0,1,1,8200000,20800000,14,372,0,35200000
359,0,0,0,2900000,9500000,18,885,1,16600000
360,1,0,1,9900000,38400000,12,596,1,62600000
361,0,1,0,4400000,14100000,2,349,1,19600000
362,1,0,1,9000000,32200000,16,468,0,60400000
363,3,0,1,6800000,26900000,16,818,1,58700000
364,2,0,0,8700000,28000000,12,543,0,52500000
365,3,1,0,9400000,21900000,16,685,1,53200000
366,3,0,1,6000000,12500000,18,851,1,41400000
367,1,0,1,9400000,29800000,10,377,0,85200000
368,0,0,1,1000000,4000000,10,620,1,8500000
369,3,1,1,900000,2300000,20,611,1,4500000
370,4,0,0,2100000,7700000,4,767,1,11100000
371,5,1,1,1100000,3200000,20,592,1,7900000
372,0,1,1,600000,2300000,4,319,1,5400000
373,4,0,1,9200000,25500000,10,900,1,60100000
374,2,0,1,3600000,12800000,18,814,1,27100000
375,5,0,1,1300000,5000000,10,755,1,11000000
376,5,1,1,7700000,16800000,20,584,1,44800000
377,4,1,1,9500000,23500000,14,380,0,62000000
378,2,0,1,5000000,17600000,20,465,0,33100000
379,0,0,0,500000,1800000,2,531,1,4400000
380,1,1,1,8300000,32100000,16,814,1,57600000
381,0,1,0,5300000,17900000,6,678,1,26600000
382,2,0,1,9300000,29000000,12,655,1,49500000
383,3,0,0,2300000,7400000,2,682,1,18600000
384,1,0,0,400000,1300000,6,695,1,1600000
385,3,0,0,3200000,10800000,4,833,1,14900000
386,5,0,1,9400000,35300000,16,302,0,66500000
387,1,1,0,2300000,6600000,2,357,0,14300000
388,5,0,0,4300000,14500000,12,302,0,34400000
389,0,1,1,6200000,22400000,18,873,1,46300000
390,0,0,1,7200000,19800000,12,658,1,53100000
391,5,1,1,2400000,8700000,18,877,1,13900000
392,3,0,0,2900000,6300000,8,648,1,15800000
393,1,1,0,1400000,5200000,12,730,1,7300000
394,4,0,1,2200000,8200000,14,737,1,18200000
395,2,1,1,800000,3200000,10,584,0,3000000
396,0,1,0,600000,1700000,2,621,1,3000000
397,4,1,1,700000,2700000,16,583,1,4000000
398,2,0,0,8400000,25900000,16,621,1,59700000
399,2,0,0,7100000,21500000,16,610,1,41400000
400,4,1,0,5400000,15700000,18,452,0,39400000
401,5,1,0,3700000,7300000,18,339,0,28600000
402,3,1,1,5200000,15200000,16,650,1,24600000
403,4,0,1,200000,700000,10,672,1,1000000
404,3,1,0,500000,1000000,20,501,0,2700000
405,2,0,1,1800000,5700000,4,809,1,11800000
406,5,1,1,9200000,29400000,8,318,0,63100000
407,4,0,0,900000,3300000,10,649,1,3400000
408,3,0,0,7500000,28300000,12,367,0,50200000
409,5,0,0,3000000,11800000,6,847,1,19800000
410,5,1,0,7100000,18900000,12,360,0,40100000
411,1,1,1,3500000,7200000,2,865,1,23400000
412,4,0,0,4900000,18800000,16,880,1,24700000
413,1,1,0,4100000,8400000,20,608,1,23800000
414,0,1,1,800000,2100000,6,760,1,2600000
415,3,1,1,1700000,4600000,12,385,0,9700000
416,0,1,1,6100000,23300000,12,478,0,28700000
417,1,1,1,2100000,7700000,16,327,0,12500000
418,0,1,0,3100000,9300000,6,663,1,14600000
419,2,0,1,1700000,3500000,20,693,1,10100000
420,3,1,0,1700000,5400000,6,710,1,13000000
421,4,0,1,4000000,14500000,6,711,1,23100000
422,5,1,0,5600000,18400000,8,386,0,34900000
423,4,1,1,3900000,11900000,10,855,1,27200000
424,4,1,1,6100000,15300000,14,573,1,32700000
425,0,1,1,1100000,2800000,18,431,0,6500000
426,2,1,0,5500000,14800000,8,364,0,34600000
427,4,1,1,1100000,3600000,14,711,1,7200000
428,4,0,1,400000,900000,20,771,1,3600000
429,3,1,0,9200000,36400000,18,669,1,59000000
430,4,0,1,9300000,27500000,18,338,0,63500000
431,1,1,0,1100000,3500000,8,562,1,7200000
432,3,0,0,5600000,18700000,2,769,1,38300000
433,0,1,1,6300000,21500000,8,629,1,31200000
434,3,1,0,8800000,18100000,6,699,1,36400000
435,0,0,0,8400000,20800000,20,590,1,56900000
436,3,1,1,1600000,5700000,4,707,1,14500000
437,3,0,1,4500000,11400000,8,391,0,29700000
438,5,0,0,6500000,18500000,4,891,1,47600000
439,3,1,1,9500000,20600000,2,731,1,47100000
440,3,0,0,4700000,16700000,12,775,1,26500000
441,5,1,1,9600000,32400000,2,897,1,51900000
442,5,1,0,8000000,26700000,20,794,1,60400000
443,2,1,0,7700000,16700000,6,555,1,42400000
444,1,0,1,3600000,10300000,12,536,0,22200000
445,2,0,0,700000,1700000,10,839,1,3700000
446,0,1,1,1400000,5100000,6,890,1,13100000
447,1,1,1,8600000,27900000,20,415,0,62000000
448,4,1,0,4700000,15700000,4,868,1,24400000
449,3,1,1,2900000,5800000,12,353,0,24200000
450,4,0,0,9000000,29000000,16,590,1,61700000
451,5,1,1,500000,900000,18,618,1,3600000
452,2,0,1,700000,1700000,10,539,0,5200000
453,0,1,0,6800000,27000000,4,429,1,55500000
454,2,1,0,1800000,4700000,8,792,1,12000000
455,0,0,0,6000000,12400000,2,608,1,29800000
456,4,1,1,5400000,21500000,14,555,1,27600000
457,5,1,1,8400000,17500000,12,620,1,60700000
458,0,1,0,7400000,20900000,6,635,1,57800000
459,2,1,0,3200000,12500000,10,457,0,20600000
460,1,1,1,5400000,21400000,8,350,0,30100000
461,5,1,1,1000000,2500000,14,885,1,5700000
462,0,1,0,4400000,14700000,16,638,1,23800000
463,1,1,1,3800000,10500000,12,710,1,23000000
464,3,0,1,6100000,20900000,18,470,0,34500000
465,5,0,1,5500000,17300000,16,874,1,25500000
466,5,0,1,500000,1800000,18,411,0,3000000
467,0,0,1,300000,1100000,2,482,1,1800000
468,1,1,1,6200000,16900000,2,396,0,49400000
469,0,0,0,300000,900000,20,436,0,1200000
470,0,0,1,6900000,22100000,20,303,0,47100000
471,4,1,0,3700000,11400000,12,728,1,19600000
472,3,0,1,8800000,28600000,10,775,1,51800000
473,5,1,1,8200000,23500000,12,402,0,46700000
474,1,0,1,9200000,31500000,18,698,1,40100000
475,0,0,0,2400000,7800000,14,665,1,17200000
476,4,0,0,4100000,13500000,18,490,0,26800000
477,1,1,0,8000000,31900000,12,504,0,53400000
478,3,0,1,3600000,8600000,8,790,1,26300000
479,1,0,1,700000,2700000,20,669,1,4200000
480,4,0,0,8300000,30700000,6,381,0,55300000
481,0,1,1,5300000,15000000,2,900,1,30600000
482,4,1,0,8300000,24900000,16,506,0,54700000
483,3,0,1,2500000,8800000,12,538,0,19100000
484,3,1,1,5400000,14400000,8,677,1,42800000
485,4,1,0,1600000,4900000,8,685,1,10500000
486,2,0,0,2400000,6200000,12,860,1,19200000
487,5,0,0,6300000,14800000,6,608,1,53800000
488,4,1,1,2500000,5300000,10,540,0,13900000
489,0,1,1,7500000,16800000,16,492,0,62800000
490,3,0,0,2900000,8500000,14,834,1,16300000
491,3,1,1,1000000,3500000,16,834,1,6200000
492,2,1,1,8600000,28800000,8,890,1,57600000
493,1,0,0,300000,1100000,12,443,0,2400000
494,5,0,0,2300000,5700000,18,329,0,16500000
495,2,0,1,2400000,5400000,12,739,1,10800000
496,5,1,1,9800000,30300000,6,867,1,74600000
497,2,0,0,8100000,24800000,6,307,0,45800000
498,3,1,0,6700000,15500000,18,492,0,39800000
499,1,0,1,8400000,24700000,18,698,1,81100000
500,2,1,0,200000,700000,8,851,1,1600000
501,2,1,0,4700000,12500000,14,375,0,23100000
502,0,1,1,4300000,14300000,14,601,1,27100000
503,4,0,0,2200000,7000000,20,756,1,14400000
504,4,1,1,8600000,19200000,4,868,1,64000000
505,4,1,1,2000000,7200000,10,838,1,11400000
506,4,0,1,4200000,15900000,14,375,0,34300000
507,0,0,1,5100000,12500000,18,778,1,22300000
508,2,1,1,4100000,11200000,6,442,0,30800000
509,1,1,1,9900000,39500000,12,808,1,59200000
510,1,0,1,3200000,9000000,20,372,0,16500000
511,2,1,0,5500000,19000000,4,597,1,29100000
512,0,1,1,7800000,29100000,20,435,0,61100000
513,3,1,1,3400000,9700000,20,728,1,12700000
514,4,1,1,7900000,25900000,14,373,0,60500000
515,3,1,1,8900000,18500000,10,367,0,48400000
516,2,1,0,7300000,19100000,14,552,1,36200000
517,4,0,1,3300000,10600000,8,465,0,15000000
518,4,1,1,2900000,10500000,8,607,1,21300000
519,2,1,1,500000,1300000,4,427,0,4300000
520,3,0,0,7200000,21200000,4,711,1,45600000
521,3,0,0,8300000,24100000,14,823,1,38300000
522,1,0,1,8700000,20500000,6,523,0,54300000
523,4,0,1,7100000,27900000,10,328,0,56600000
524,3,1,1,9800000,28200000,12,721,1,53800000
525,0,1,1,6900000,17000000,20,599,1,58400000
526,0,0,0,2400000,5000000,14,580,1,19000000
527,1,0,1,2100000,4900000,10,744,1,8600000
528,2,1,1,7200000,23900000,4,559,1,45000000
529,2,1,0,4600000,13500000,16,587,1,29200000
530,5,1,1,9900000,31800000,18,817,1,68200000
531,4,0,1,300000,1000000,20,655,1,1600000
532,5,1,1,6900000,23900000,6,382,0,54400000
533,2,1,1,1700000,4300000,6,765,1,10800000
534,2,1,1,4400000,10000000,20,516,0,32300000
535,4,0,1,4300000,15000000,8,383,0,18700000
536,2,0,0,3700000,14100000,6,633,1,15700000
